season,week,celebrity_name,mean,std,cv,certainty,ci_low,ci_high,regime
12,7,Hines Ward,0.19339836212911943,0.0025814079484522815,0.013347620528083089,0.9868281917698417,0.18789114333434317,0.19735461302413843,percent
12,7,Romeo,0.20838124305128383,0.0020160838700272778,0.009674977653968153,0.9904177305884627,0.20502506630189007,0.21112927087040495,percent
12,7,Kendra Wilkinson,1.000000097579443e-08,1.0827376685570215e-15,1.0827375629040933e-07,0.9999998917262556,9.999999999999957e-09,1.0000002799457928e-08,percent
12,8,Ralph Macchio,0.2711560076931386,0.0015735066135372344,0.00580295685470461,0.9942305231704116,0.2691691130242726,0.2745324505581998,percent
12,8,Chelsea Kane,0.2381129643636415,0.002405050883283295,0.010100461727108434,0.9900005374615527,0.23453115512984385,0.24306692879127376,percent
12,8,Kirstie Alley,0.24662731394133014,0.00295970973862391,0.012000737839313253,0.9881415720457521,0.24147456124828234,0.2512575898693764,percent
12,8,Hines Ward,0.24410370400188972,0.0026856508923853825,0.011002089883751178,0.9891176388319669,0.23931145704030884,0.24784891366377404,percent
12,8,Romeo,1.0000000112098051e-08,1.3999617637924688e-16,1.3999617480991704e-08,0.9999999860003828,9.999999999999997e-09,1.0000000435188996e-08,percent
12,9,Ralph Macchio,0.007889195052212793,0.0014964457984295567,0.18968295098874854,0.8405600829774835,0.0051493591703499165,0.009882736235392093,percent
12,9,Chelsea Kane,0.29318254358572443,0.0029946242571339088,0.010214196999959865,0.989889077949713,0.2868110650181855,0.29700167927173127,percent
12,9,Kirstie Alley,0.36023720813527815,0.0026569235174318975,0.007375483313301039,0.9926785161685265,0.35496538597688265,0.3641829855973153,percent
12,9,Hines Ward,0.3386910532267846,0.0025730551581550224,0.0075970567679333615,0.9924602233433448,0.3349764299548763,0.34304973109457226,percent
12,10,Chelsea Kane,0.1818181818181818,2.7755575615628914e-17,1.5265566588595905e-16,0.9999999999999998,0.18181818181818182,0.18181818181818182,percent
12,10,Kirstie Alley,0.2727272727272727,5.551115123125783e-17,2.0354088784794538e-16,0.9999999999999998,0.27272727272727276,0.27272727272727276,percent
12,10,Hines Ward,0.5454545454545454,1.1102230246251565e-16,2.0354088784794538e-16,0.9999999999999998,0.5454545454545455,0.5454545454545455,percent
13,1,Elisabetta Canalis,0.10550458981449955,0.0020052205030430827,0.019006002549924177,0.9813484881321953,0.10227384730190363,0.10897604142746,percent
13,1,David Arquette,0.09261779984664766,0.0018063654465165129,0.01950343723892611,0.980869669952515,0.08982932785050422,0.0958251981319885,percent
13,1,Ricki Lake,0.084146964474834,0.0019825062557906553,0.023560044835408977,0.9769822542856316,0.08090516415165845,0.0876255581097237,percent
13,1,J.R. Martinez,0.07507786482920016,0.0020142663288952763,0.026829030546855193,0.9738719594511591,0.07204579479807721,0.07811207311437461,percent
13,1,Metta World Peace (Ron),1.0000098888510404e-08,9.57710488578632e-14,9.577010180159236e-06,0.9999904230815381,9.999999999997074e-09,1.0000278907681005e-08,percent
13,1,Hope Solo,0.08007682219678215,0.0021237505419780638,0.02652141385879578,0.9741637987276864,0.07605628799225514,0.08326986751182874,percent
13,1,Chynna Phillips,0.07446709583258433,0.0018268117872152338,0.02453179846468353,0.9760556007129835,0.07092782758070225,0.07741821013411201,percent
13,1,Kristin Cavallari,0.08710691485048869,0.002091335527293641,0.024008834785197403,0.9765540745649586,0.08449573524747513,0.0908536540233431,percent
13,1,Carson Kressley,0.09802256793385769,0.0024302937150127804,0.024793205954904796,0.9758066253651609,0.09465356782512321,0.10283319525239984,percent
13,1,Chaz Bono,0.09819647897738795,0.0020937813584016862,0.021322366954560853,0.9791227846912419,0.09352269782095395,0.10106436064986221,percent
13,1,Nancy Grace,0.1027600984539632,0.002231286308091635,0.02171354778422344,0.9787479104771457,0.09950410612333072,0.10740008593510116,percent
13,1,Rob Kardashian,0.1020227927896558,0.0023824622647109855,0.02335225491839845,0.9771806288536878,0.09861212678359024,0.10630163641041632,percent
13,2,Elisabetta Canalis,1.0000114722143003e-08,1.3590896027496307e-13,1.3590740111613246e-05,0.9999864094445942,9.999999999996321e-09,1.0000418993895136e-08,percent
13,2,David Arquette,0.10885362972004198,0.0022502690890198384,0.020672430444508384,0.9797462635142351,0.10494681164634574,0.11241071180253272,percent
13,2,Ricki Lake,0.08814039596944208,0.002350638652848453,0.026669254511443426,0.9740235188749911,0.08453609686767154,0.09200871138826484,percent
13,2,J.R. Martinez,0.09238043427027712,0.002374383670262045,0.025702235424822955,0.9749418159216767,0.08910262941810838,0.09601622633106709,percent
13,2,Hope Solo,0.10508852346916372,0.002550151205565532,0.024266695557044596,0.976308225521433,0.1014622759626381,0.11021835670376502,percent
13,2,Chynna Phillips,0.09627179428048142,0.0017886726062869937,0.018579404483475358,0.9817594932690623,0.09366881494035632,0.0999110630157677,percent
13,2,Kristin Cavallari,0.0918629934820018,0.001574408202298508,0.01713865554149368,0.9831501286003436,0.08949804702572642,0.09467079059576919,percent
13,2,Carson Kressley,0.11003770842098574,0.0017470883174370599,0.015877178310120692,0.9843709666393611,0.1069904348437435,0.11234010995473027,percent
13,2,Chaz Bono,0.11412581373416612,0.0019105063628029773,0.016740352601148853,0.9835352727386872,0.11097047940866457,0.11726351122092964,percent
13,2,Nancy Grace,0.09670222920610805,0.0026985605604737065,0.027905877482121748,0.972851719118021,0.09168970810148261,0.1007054215365591,percent
13,2,Rob Kardashian,0.09653646744721721,0.0018726847539952355,0.01939872882772673,0.9809704208185206,0.0931049173895806,0.09957047864920725,percent
13,3,David Arquette,0.10987878626757996,0.001990553449237873,0.01811590314067012,0.9822064432106536,0.10641758356290731,0.11319855212679845,percent
13,3,Ricki Lake,0.09687724658142657,0.0023640680841101025,0.02440271753721936,0.9761785896118215,0.09182860016325403,0.10063941566146092,percent
13,3,J.R. Martinez,0.10178365352411607,0.0019227565705881124,0.018890622452774744,0.981459616924043,0.09769125380871677,0.10472332666520333,percent
13,3,Hope Solo,0.10980767318112497,0.0018500974889541434,0.01684852647685608,0.9834306427770197,0.10731000413250293,0.11393995799273086,percent
13,3,Chynna Phillips,0.10223561470766906,0.0018673085762364152,0.01826475618673364,0.9820628612786985,0.0991343251272539,0.10551642920721911,percent
13,3,Kristin Cavallari,1.0000082830083697e-08,1.0126763167021588e-13,1.012667928765229e-05,0.9999898734232611,9.999999999999105e-09,1.0000331044198063e-08,percent
13,3,Carson Kressley,0.11342876577707725,0.001887155503849737,0.016637362585418442,0.9836349093612813,0.11070750264217288,0.11679847841208228,percent
13,3,Chaz Bono,0.13506268314278247,0.0020924810165672617,0.01549266583394601,0.9847436950012602,0.1317020280249686,0.1387672592032403,percent
13,3,Nancy Grace,0.12163924409151709,0.0022448071741898654,0.01845462943275898,0.9818797726482548,0.11725596057863334,0.12500372654916597,percent
13,3,Rob Kardashian,0.10928632272662378,0.0018139283187656198,0.016597944495791144,0.9836730493252932,0.10564868202786692,0.11247556978321058,percent
