Name,Season,Role,Start Date,End Date,Average_Popularity_Score
Brooke Burke,7,Celebrity,2008-09-22,2008-11-25,21.553846153846155
Cloris Leachman,7,Celebrity,2008-09-22,2008-11-25,11.63076923076923
Cody Linley,7,Celebrity,2008-09-22,2008-11-25,15.876923076923077
Jeffrey Ross,7,Celebrity,2008-09-22,2008-11-25,2.769230769230769
Kim Kardashian,7,Celebrity,2008-09-22,2008-11-25,37.93846153846154
Lance Bass,7,Celebrity,2008-09-22,2008-11-25,22.784615384615385
Maurice Greene,7,Celebrity,2008-09-22,2008-11-25,7.907692307692308
Misty May-Treanor,7,Celebrity,2008-09-22,2008-11-25,5.769230769230769
Rocco DiSpirito,7,Celebrity,2008-09-22,2008-11-25,8.923076923076923
Susan Lucci,7,Celebrity,2008-09-22,2008-11-25,9.307692307692308
Ted McGinley,7,Celebrity,2008-09-22,2008-11-25,3.8153846153846156
Toni Braxton,7,Celebrity,2008-09-22,2008-11-25,10.076923076923077
Warren Sapp,7,Celebrity,2008-09-22,2008-11-25,17.56923076923077
Alec Mazo,7,Professional,2008-09-22,2008-11-25,5.107692307692307
Cheryl Burke,7,Professional,2008-09-22,2008-11-25,21.53846153846154
Corky Ballas,7,Professional,2008-09-22,2008-11-25,13.246153846153845
Derek Hough,7,Professional,2008-09-22,2008-11-25,
Edyta Sliwinska,7,Professional,2008-09-22,2008-11-25,9.061538461538461
Inna Brayer,7,Professional,2008-09-22,2008-11-25,3.6615384615384614
Julianne Hough,7,Professional,2008-09-22,2008-11-25,24.76923076923077
Karina Smirnoff,7,Professional,2008-09-22,2008-11-25,11.907692307692308
Kym Johnson,7,Professional,2008-09-22,2008-11-25,15.76923076923077
Lacey Schwimmer,7,Professional,2008-09-22,2008-11-25,21.153846153846153
Maksim Chmerkoskiy,7,Professional,2008-09-22,2008-11-25,0.0
Mark Ballas,7,Professional,2008-09-22,2008-11-25,11.846153846153847
Tony Dovolani,7,Professional,2008-09-22,2008-11-25,4.492307692307692
Belinda Carlisle,8,Celebrity,2009-03-09,2009-05-19,4.458333333333333
Chuck Wicks,8,Celebrity,2009-03-09,2009-05-19,19.40277777777778
David Alan Grier,8,Celebrity,2009-03-09,2009-05-19,5.361111111111111
Denise Richards,8,Celebrity,2009-03-09,2009-05-19,16.083333333333332
Gilles Marini,8,Celebrity,2009-03-09,2009-05-19,19.791666666666668
Holly Madison,8,Celebrity,2009-03-09,2009-05-19,26.25
Lawrence Taylor,8,Celebrity,2009-03-09,2009-05-19,11.083333333333334
Lil' Kim,8,Celebrity,2009-03-09,2009-05-19,0.0
Melissa Rycroft,8,Celebrity,2009-03-09,2009-05-19,15.38888888888889
Shawn Johnson,8,Celebrity,2009-03-09,2009-05-19,13.597222222222221
Steve Wozniak,8,Celebrity,2009-03-09,2009-05-19,9.791666666666666
Steve-O,8,Celebrity,2009-03-09,2009-05-19,14.555555555555555
Ty Murray,8,Celebrity,2009-03-09,2009-05-19,16.98611111111111
Chelsie Hightower,8,Professional,2009-03-09,2009-05-19,12.194444444444445
Cheryl Burke,8,Professional,2009-03-09,2009-05-19,20.680555555555557
Derek Hough,8,Professional,2009-03-09,2009-05-19,30.51388888888889
Dmitry Chaplin,8,Professional,2009-03-09,2009-05-19,5.319444444444445
Edyta Sliwinska,8,Professional,2009-03-09,2009-05-19,14.152777777777779
Jonathan Roberts,8,Professional,2009-03-09,2009-05-19,3.5
Julianne Hough,8,Professional,2009-03-09,2009-05-19,23.0
Karina Smirnoff,8,Professional,2009-03-09,2009-05-19,11.416666666666666
Kym Johnson,8,Professional,2009-03-09,2009-05-19,4.722222222222222
Lacey Schwimmer,8,Professional,2009-03-09,2009-05-19,10.76388888888889
Maksim Chmerkoskiy,8,Professional,2009-03-09,2009-05-19,0.0
Mark Ballas,8,Professional,2009-03-09,2009-05-19,19.63888888888889
Tony Dovolani,8,Professional,2009-03-09,2009-05-19,9.166666666666666
Aaron Carter,9,Celebrity,2009-09-21,2009-11-24,19.2
Ashley Hamiliton,9,Celebrity,2009-09-21,2009-11-24,0.0
Chuck Liddell,9,Celebrity,2009-09-21,2009-11-24,18.96923076923077
Debi Mazar,9,Celebrity,2009-09-21,2009-11-24,5.969230769230769
Donny Osmond,9,Celebrity,2009-09-21,2009-11-24,14.876923076923077
Joanna Krupa,9,Celebrity,2009-09-21,2009-11-24,16.184615384615384
Kathy Ireland,9,Celebrity,2009-09-21,2009-11-24,9.492307692307692
Kelly Osbourne,9,Celebrity,2009-09-21,2009-11-24,13.046153846153846
Louie Vito,9,Celebrity,2009-09-21,2009-11-24,14.215384615384615
Macy Gray,9,Celebrity,2009-09-21,2009-11-24,4.476923076923077
Mark Dacascos,9,Celebrity,2009-09-21,2009-11-24,9.307692307692308
Melissa Joan Hart,9,Celebrity,2009-09-21,2009-11-24,22.246153846153845
Michael Irvin,9,Celebrity,2009-09-21,2009-11-24,13.446153846153846
Mya,9,Celebrity,2009-09-21,2009-11-24,32.83076923076923
Natalie Coughlin,9,Celebrity,2009-09-21,2009-11-24,7.246153846153846
