season,week,celebrity_name,p_surv_rank,p_surv_pct,cum_p_rank,cum_p_pct
11,8,Bristol Palin,0.2247697627204956,0.21444222063359986,1.9285342411597166e-05,4.018920522812315e-05
11,9,Bristol Palin,0.3664096078644043,0.29957430251688516,7.066334750564083e-06,1.2039653124922947e-05
11,10,Bristol Palin,1.0,1.0,7.066334750564083e-06,1.2039653124922947e-05
15,1,Bristol Palin,0.2165164855096372,0.24877500136158703,0.2165164855096372,0.24877500136158703
15,2,Bristol Palin,0.2758953830305419,0.15469352264698483,0.05973589870210813,0.038483881307132345
15,3,Bristol Palin,0.2591231565563105,0.18076216826495684,0.015478954631418271,0.006956429828328484
15,4,Bristol Palin,0.16324277592101166,0.1404682798526446,0.0025268275223881186,0.0009771577319009298
30,1,Iman Shumpert,1.0,1.0,1.0,1.0
30,2,Iman Shumpert,0.2670877737012591,0.2883432825754639,0.2670877737012591,0.2883432825754639
30,3,Iman Shumpert,0.15650418721852527,0.26781347271763345,0.04180035493912096,0.07722221584133687
30,4,Iman Shumpert,0.525,0.5308751510214739,0.021945186343038506,0.04099535549698256
30,5,Iman Shumpert,0.322501132505714,0.6877898773548191,0.007077347448678846,0.028196190529386846
30,6,Iman Shumpert,0.5694780790305725,0.27475071452195604,0.004030394229705552,0.007746923494746246
30,7,Iman Shumpert,0.21052266898158073,0.25630521494656855,0.000848489350285575,0.0019855768914955585
30,8,Iman Shumpert,0.2927811640381316,0.344192714524859,0.0002484216996505686,0.0006834211001816877
30,9,Iman Shumpert,0.8364894989751971,0.9207076783000795,0.00020780214307527105,0.0006292310544495677
30,10,Iman Shumpert,1.0,1.0,0.00020780214307527105,0.0006292310544495677
2,1,Jerry Rice,0.5838434313408963,0.4897306610920814,0.5838434313408963,0.4897306610920814
2,2,Jerry Rice,0.6551943403303641,0.5447446313779037,0.38253091185361476,0.266778148451063
2,3,Jerry Rice,0.4460785830009383,0.5620529235026974,0.1706388471137173,0.14994343826355658
2,4,Jerry Rice,0.525,0.6070704895703841,0.08958539473470159,0.09102623647452396
2,5,Jerry Rice,0.42533430209279577,0.4893087635592781,0.038103741347191925,0.04453993522080378
2,6,Jerry Rice,0.35029694194549704,0.3917403976558272,0.013347624070603525,0.017448091934962457
2,7,Jerry Rice,0.256801415075159,0.26009672939759654,0.0034276887492222397,0.004538191646512316
2,8,Jerry Rice,1.0,1.0,0.0034276887492222397,0.004538191646512316
29,1,Nelly,1.0,1.0,1.0,1.0
29,2,Nelly,0.34439877404481534,0.29813092027811566,0.34439877404481534,0.29813092027811566
29,3,Nelly,0.18368315053725037,0.2780857697691522,0.06326025185771829,0.08290596645752554
29,4,Nelly,0.21333180638431243,0.3141934599416534,0.013495423801133598,0.02604851245109661
29,5,Nelly,0.4585467550171073,0.36705409088392826,0.006188282791590447,0.009561213056615952
29,6,Nelly,0.4928747767950445,0.48024665754465096,0.003050048499649756,0.004591740612512087
29,7,Nelly,0.8736839718120621,0.7356834449018627,0.00266477848739342,0.003378067551908681
29,8,Nelly,0.3789536388487928,0.7900058413167793,0.0010098275045237184,0.0026686930983705307
29,9,Nelly,0.525,0.9144789655585073,0.0005301594398749522,0.0024404637039910104
29,10,Nelly,0.525,0.9139402389516087,0.0002783337059343499,0.002230437980778272
29,11,Nelly,1.0,1.0,0.0002783337059343499,0.002230437980778272
